"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"44 years"	"44"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	52	Not Applicable	Not Applicable
	"45 years"	"45"	"Mar., 2020"	"2020/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	24	Not Applicable	Not Applicable
	"45 years"	"45"	"Apr., 2020"	"2020/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	46	Not Applicable	Not Applicable
	"45 years"	"45"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	125	Not Applicable	Not Applicable
	"45 years"	"45"	"May, 2020"	"2020/05"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	24	Not Applicable	Not Applicable
	"45 years"	"45"	"May, 2020"	"2020/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	67	Not Applicable	Not Applicable
	"45 years"	"45"	"Jun., 2020"	"2020/06"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	32	Not Applicable	Not Applicable
	"45 years"	"45"	"Jun., 2020"	"2020/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	43	Not Applicable	Not Applicable
	"45 years"	"45"	"Jul., 2020"	"2020/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	39	Not Applicable	Not Applicable
	"45 years"	"45"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	79	Not Applicable	Not Applicable
	"45 years"	"45"	"Aug., 2020"	"2020/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	38	Not Applicable	Not Applicable
	"45 years"	"45"	"Aug., 2020"	"2020/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	69	Not Applicable	Not Applicable
	"45 years"	"45"	"Sep., 2020"	"2020/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"45 years"	"45"	"Sep., 2020"	"2020/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	35	Not Applicable	Not Applicable
	"45 years"	"45"	"Oct., 2020"	"2020/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"45 years"	"45"	"Oct., 2020"	"2020/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	38	Not Applicable	Not Applicable
	"45 years"	"45"	"Nov., 2020"	"2020/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	37	Not Applicable	Not Applicable
	"45 years"	"45"	"Nov., 2020"	"2020/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	84	Not Applicable	Not Applicable
	"45 years"	"45"	"Dec., 2020"	"2020/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	82	Not Applicable	Not Applicable
	"45 years"	"45"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	154	Not Applicable	Not Applicable
	"45 years"	"45"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	90	Not Applicable	Not Applicable
	"45 years"	"45"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	171	Not Applicable	Not Applicable
	"45 years"	"45"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	45	Not Applicable	Not Applicable
	"45 years"	"45"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	75	Not Applicable	Not Applicable
	"45 years"	"45"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	39	Not Applicable	Not Applicable
	"45 years"	"45"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	46	Not Applicable	Not Applicable
	"45 years"	"45"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	40	Not Applicable	Not Applicable
	"45 years"	"45"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	72	Not Applicable	Not Applicable
	"45 years"	"45"	"May, 2021 (provisional)"	"2021/05"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	32	Not Applicable	Not Applicable
	"45 years"	"45"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	60	Not Applicable	Not Applicable
	"45 years"	"45"	"Jun., 2021 (provisional)"	"2021/06"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"45 years"	"45"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	35	Not Applicable	Not Applicable
	"45 years"	"45"	"Jul., 2021 (provisional)"	"2021/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	33	Not Applicable	Not Applicable
	"45 years"	"45"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	49	Not Applicable	Not Applicable
	"45 years"	"45"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	148	Not Applicable	Not Applicable
	"45 years"	"45"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	236	Not Applicable	Not Applicable
	"45 years"	"45"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	186	Not Applicable	Not Applicable
	"45 years"	"45"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	330	Not Applicable	Not Applicable
	"45 years"	"45"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	101	Not Applicable	Not Applicable
	"45 years"	"45"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	199	Not Applicable	Not Applicable
	"45 years"	"45"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	68	Not Applicable	Not Applicable
	"45 years"	"45"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	86	Not Applicable	Not Applicable
	"45 years"	"45"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	74	Not Applicable	Not Applicable
	"45 years"	"45"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	144	Not Applicable	Not Applicable
	"45 years"	"45"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	123	Not Applicable	Not Applicable
	"45 years"	"45"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	188	Not Applicable	Not Applicable
	"45 years"	"45"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	52	Not Applicable	Not Applicable
	"45 years"	"45"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	67	Not Applicable	Not Applicable
	"46 years"	"46"	"Mar., 2020"	"2020/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	23	Not Applicable	Not Applicable
	"46 years"	"46"	"Apr., 2020"	"2020/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	50	Not Applicable	Not Applicable
	"46 years"	"46"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	156	Not Applicable	Not Applicable
	"46 years"	"46"	"May, 2020"	"2020/05"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	34	Not Applicable	Not Applicable
	"46 years"	"46"	"May, 2020"	"2020/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	75	Not Applicable	Not Applicable
	"46 years"	"46"	"Jun., 2020"	"2020/06"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	22	Not Applicable	Not Applicable
	"46 years"	"46"	"Jun., 2020"	"2020/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	43	Not Applicable	Not Applicable
	"46 years"	"46"	"Jul., 2020"	"2020/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	45	Not Applicable	Not Applicable
	"46 years"	"46"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	80	Not Applicable	Not Applicable
	"46 years"	"46"	"Aug., 2020"	"2020/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	35	Not Applicable	Not Applicable
	"46 years"	"46"	"Aug., 2020"	"2020/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	55	Not Applicable	Not Applicable
	"46 years"	"46"	"Sep., 2020"	"2020/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"46 years"	"46"	"Sep., 2020"	"2020/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	38	Not Applicable	Not Applicable
	"46 years"	"46"	"Oct., 2020"	"2020/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"46 years"	"46"	"Oct., 2020"	"2020/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	46	Not Applicable	Not Applicable
	"46 years"	"46"	"Nov., 2020"	"2020/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	40	Not Applicable	Not Applicable
	"46 years"	"46"	"Nov., 2020"	"2020/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	68	Not Applicable	Not Applicable
	"46 years"	"46"	"Dec., 2020"	"2020/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	93	Not Applicable	Not Applicable
	"46 years"	"46"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	162	Not Applicable	Not Applicable
	"46 years"	"46"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	100	Not Applicable	Not Applicable
	"46 years"	"46"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	169	Not Applicable	Not Applicable
	"46 years"	"46"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	58	Not Applicable	Not Applicable
	"46 years"	"46"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	99	Not Applicable	Not Applicable
	"46 years"	"46"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	39	Not Applicable	Not Applicable
	"46 years"	"46"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	58	Not Applicable	Not Applicable
	"46 years"	"46"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	33	Not Applicable	Not Applicable
	"46 years"	"46"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	52	Not Applicable	Not Applicable
	"46 years"	"46"	"May, 2021 (provisional)"	"2021/05"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	27	Not Applicable	Not Applicable
	"46 years"	"46"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	50	Not Applicable	Not Applicable
	"46 years"	"46"	"Jun., 2021 (provisional)"	"2021/06"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	14	Not Applicable	Not Applicable
	"46 years"	"46"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	36	Not Applicable	Not Applicable
	"46 years"	"46"	"Jul., 2021 (provisional)"	"2021/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	33	Not Applicable	Not Applicable
	"46 years"	"46"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	52	Not Applicable	Not Applicable
	"46 years"	"46"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	165	Not Applicable	Not Applicable
	"46 years"	"46"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	301	Not Applicable	Not Applicable
	"46 years"	"46"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	227	Not Applicable	Not Applicable
	"46 years"	"46"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	365	Not Applicable	Not Applicable
	"46 years"	"46"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	152	Not Applicable	Not Applicable
	"46 years"	"46"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	207	Not Applicable	Not Applicable
	"46 years"	"46"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	77	Not Applicable	Not Applicable
	"46 years"	"46"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	138	Not Applicable	Not Applicable
	"46 years"	"46"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	81	Not Applicable	Not Applicable
	"46 years"	"46"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	158	Not Applicable	Not Applicable
	"46 years"	"46"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	130	Not Applicable	Not Applicable
	"46 years"	"46"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	212	Not Applicable	Not Applicable
	"46 years"	"46"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	73	Not Applicable	Not Applicable
	"46 years"	"46"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	58	Not Applicable	Not Applicable
	"46 years"	"46"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"47 years"	"47"	"Mar., 2020"	"2020/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"47 years"	"47"	"Mar., 2020"	"2020/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	27	Not Applicable	Not Applicable
	"47 years"	"47"	"Apr., 2020"	"2020/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	60	Not Applicable	Not Applicable
	"47 years"	"47"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	150	Not Applicable	Not Applicable
	"47 years"	"47"	"May, 2020"	"2020/05"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	42	Not Applicable	Not Applicable
	"47 years"	"47"	"May, 2020"	"2020/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	72	Not Applicable	Not Applicable
	"47 years"	"47"	"Jun., 2020"	"2020/06"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"47 years"	"47"	"Jun., 2020"	"2020/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	63	Not Applicable	Not Applicable
	"47 years"	"47"	"Jul., 2020"	"2020/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	40	Not Applicable	Not Applicable
	"47 years"	"47"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	104	Not Applicable	Not Applicable
	"47 years"	"47"	"Aug., 2020"	"2020/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	44	Not Applicable	Not Applicable
	"47 years"	"47"	"Aug., 2020"	"2020/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	93	Not Applicable	Not Applicable
	"47 years"	"47"	"Sep., 2020"	"2020/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	26	Not Applicable	Not Applicable
	"47 years"	"47"	"Sep., 2020"	"2020/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	44	Not Applicable	Not Applicable
	"47 years"	"47"	"Oct., 2020"	"2020/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"47 years"	"47"	"Oct., 2020"	"2020/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	39	Not Applicable	Not Applicable
	"47 years"	"47"	"Nov., 2020"	"2020/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	51	Not Applicable	Not Applicable
	"47 years"	"47"	"Nov., 2020"	"2020/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	85	Not Applicable	Not Applicable
	"47 years"	"47"	"Dec., 2020"	"2020/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	99	Not Applicable	Not Applicable
	"47 years"	"47"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	182	Not Applicable	Not Applicable
	"47 years"	"47"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	113	Not Applicable	Not Applicable
	"47 years"	"47"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	229	Not Applicable	Not Applicable
	"47 years"	"47"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	57	Not Applicable	Not Applicable
	"47 years"	"47"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	103	Not Applicable	Not Applicable
	"47 years"	"47"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	44	Not Applicable	Not Applicable
	"47 years"	"47"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	62	Not Applicable	Not Applicable
	"47 years"	"47"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	37	Not Applicable	Not Applicable
	"47 years"	"47"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	77	Not Applicable	Not Applicable
	"47 years"	"47"	"May, 2021 (provisional)"	"2021/05"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	39	Not Applicable	Not Applicable
	"47 years"	"47"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	53	Not Applicable	Not Applicable
	"47 years"	"47"	"Jun., 2021 (provisional)"	"2021/06"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	18	Not Applicable	Not Applicable
	"47 years"	"47"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	30	Not Applicable	Not Applicable
	"47 years"	"47"	"Jul., 2021 (provisional)"	"2021/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	34	Not Applicable	Not Applicable
	"47 years"	"47"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	67	Not Applicable	Not Applicable
	"47 years"	"47"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	178	Not Applicable	Not Applicable
	"47 years"	"47"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	296	Not Applicable	Not Applicable
	"47 years"	"47"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	207	Not Applicable	Not Applicable
	"47 years"	"47"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	367	Not Applicable	Not Applicable
	"47 years"	"47"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	131	Not Applicable	Not Applicable
	"47 years"	"47"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	209	Not Applicable	Not Applicable
	"47 years"	"47"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	72	Not Applicable	Not Applicable
	"47 years"	"47"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	126	Not Applicable	Not Applicable
	"47 years"	"47"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	96	Not Applicable	Not Applicable
	"47 years"	"47"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	167	Not Applicable	Not Applicable
	"47 years"	"47"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	140	Not Applicable	Not Applicable
	"47 years"	"47"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	218	Not Applicable	Not Applicable
	"47 years"	"47"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	44	Not Applicable	Not Applicable
	"47 years"	"47"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	81	Not Applicable	Not Applicable
	"47 years"	"47"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"47 years"	"47"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	13	Not Applicable	Not Applicable
	"48 years"	"48"	"Mar., 2020"	"2020/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	11	Not Applicable	Not Applicable
	"48 years"	"48"	"Mar., 2020"	"2020/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	27	Not Applicable	Not Applicable
	"48 years"	"48"	"Apr., 2020"	"2020/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	86	Not Applicable	Not Applicable
	"48 years"	"48"	"Apr., 2020"	"2020/04"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	187	Not Applicable	Not Applicable
	"48 years"	"48"	"May, 2020"	"2020/05"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	29	Not Applicable	Not Applicable
	"48 years"	"48"	"May, 2020"	"2020/05"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	113	Not Applicable	Not Applicable
	"48 years"	"48"	"Jun., 2020"	"2020/06"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	26	Not Applicable	Not Applicable
	"48 years"	"48"	"Jun., 2020"	"2020/06"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	59	Not Applicable	Not Applicable
	"48 years"	"48"	"Jul., 2020"	"2020/07"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	57	Not Applicable	Not Applicable
	"48 years"	"48"	"Jul., 2020"	"2020/07"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	111	Not Applicable	Not Applicable
	"48 years"	"48"	"Aug., 2020"	"2020/08"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	49	Not Applicable	Not Applicable
	"48 years"	"48"	"Aug., 2020"	"2020/08"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	107	Not Applicable	Not Applicable
	"48 years"	"48"	"Sep., 2020"	"2020/09"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	26	Not Applicable	Not Applicable
	"48 years"	"48"	"Sep., 2020"	"2020/09"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	48	Not Applicable	Not Applicable
	"48 years"	"48"	"Oct., 2020"	"2020/10"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	20	Not Applicable	Not Applicable
	"48 years"	"48"	"Oct., 2020"	"2020/10"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	55	Not Applicable	Not Applicable
	"48 years"	"48"	"Nov., 2020"	"2020/11"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	46	Not Applicable	Not Applicable
	"48 years"	"48"	"Nov., 2020"	"2020/11"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	97	Not Applicable	Not Applicable
	"48 years"	"48"	"Dec., 2020"	"2020/12"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	136	Not Applicable	Not Applicable
	"48 years"	"48"	"Dec., 2020"	"2020/12"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	192	Not Applicable	Not Applicable
	"48 years"	"48"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	129	Not Applicable	Not Applicable
	"48 years"	"48"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	217	Not Applicable	Not Applicable
	"48 years"	"48"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	74	Not Applicable	Not Applicable
	"48 years"	"48"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	116	Not Applicable	Not Applicable
	"48 years"	"48"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	41	Not Applicable	Not Applicable
	"48 years"	"48"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	80	Not Applicable	Not Applicable
	"48 years"	"48"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	47	Not Applicable	Not Applicable
