"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"23 years"	"23"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	291	Not Applicable	Not Applicable
	"23 years"	"23"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	125	Not Applicable	Not Applicable
	"23 years"	"23"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	290	Not Applicable	Not Applicable
	"23 years"	"23"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	117	Not Applicable	Not Applicable
	"23 years"	"23"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	279	Not Applicable	Not Applicable
	"23 years"	"23"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	91	Not Applicable	Not Applicable
	"23 years"	"23"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	245	Not Applicable	Not Applicable
	"23 years"	"23"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Female"	"F"	34	Not Applicable	Not Applicable
	"23 years"	"23"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Male"	"M"	92	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2018"	"2018/01"	"Female"	"F"	89	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2018"	"2018/01"	"Male"	"M"	296	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2018"	"2018/02"	"Female"	"F"	90	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2018"	"2018/02"	"Male"	"M"	251	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2018"	"2018/03"	"Female"	"F"	93	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2018"	"2018/03"	"Male"	"M"	286	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2018"	"2018/04"	"Female"	"F"	96	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2018"	"2018/04"	"Male"	"M"	291	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2018"	"2018/05"	"Female"	"F"	109	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2018"	"2018/05"	"Male"	"M"	305	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2018"	"2018/06"	"Female"	"F"	93	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2018"	"2018/06"	"Male"	"M"	316	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2018"	"2018/07"	"Female"	"F"	101	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2018"	"2018/07"	"Male"	"M"	280	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2018"	"2018/08"	"Female"	"F"	105	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2018"	"2018/08"	"Male"	"M"	294	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2018"	"2018/09"	"Female"	"F"	97	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2018"	"2018/09"	"Male"	"M"	302	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2018"	"2018/10"	"Female"	"F"	107	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2018"	"2018/10"	"Male"	"M"	293	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2018"	"2018/11"	"Female"	"F"	88	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2018"	"2018/11"	"Male"	"M"	217	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2018"	"2018/12"	"Female"	"F"	122	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2018"	"2018/12"	"Male"	"M"	247	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2019"	"2019/01"	"Female"	"F"	92	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2019"	"2019/01"	"Male"	"M"	252	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2019"	"2019/02"	"Female"	"F"	83	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2019"	"2019/02"	"Male"	"M"	220	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2019"	"2019/03"	"Female"	"F"	88	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2019"	"2019/03"	"Male"	"M"	239	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2019"	"2019/04"	"Female"	"F"	97	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2019"	"2019/04"	"Male"	"M"	240	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2019"	"2019/05"	"Female"	"F"	96	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2019"	"2019/05"	"Male"	"M"	268	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2019"	"2019/06"	"Female"	"F"	96	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2019"	"2019/06"	"Male"	"M"	274	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2019"	"2019/07"	"Female"	"F"	108	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2019"	"2019/07"	"Male"	"M"	307	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2019"	"2019/08"	"Female"	"F"	105	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2019"	"2019/08"	"Male"	"M"	302	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2019"	"2019/09"	"Female"	"F"	99	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2019"	"2019/09"	"Male"	"M"	243	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2019"	"2019/10"	"Female"	"F"	110	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2019"	"2019/10"	"Male"	"M"	270	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2019"	"2019/11"	"Female"	"F"	91	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2019"	"2019/11"	"Male"	"M"	288	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2019"	"2019/12"	"Female"	"F"	110	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2019"	"2019/12"	"Male"	"M"	273	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2020"	"2020/01"	"Female"	"F"	112	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2020"	"2020/01"	"Male"	"M"	290	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2020"	"2020/02"	"Female"	"F"	102	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2020"	"2020/02"	"Male"	"M"	250	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2020"	"2020/03"	"Female"	"F"	97	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2020"	"2020/03"	"Male"	"M"	309	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2020"	"2020/04"	"Female"	"F"	98	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2020"	"2020/04"	"Male"	"M"	344	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2020"	"2020/05"	"Female"	"F"	115	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2020"	"2020/05"	"Male"	"M"	305	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2020"	"2020/06"	"Female"	"F"	130	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2020"	"2020/06"	"Male"	"M"	353	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2020"	"2020/07"	"Female"	"F"	139	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2020"	"2020/07"	"Male"	"M"	404	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2020"	"2020/08"	"Female"	"F"	121	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2020"	"2020/08"	"Male"	"M"	361	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2020"	"2020/09"	"Female"	"F"	97	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2020"	"2020/09"	"Male"	"M"	334	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2020"	"2020/10"	"Female"	"F"	118	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2020"	"2020/10"	"Male"	"M"	330	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2020"	"2020/11"	"Female"	"F"	102	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2020"	"2020/11"	"Male"	"M"	295	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2020"	"2020/12"	"Female"	"F"	131	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2020"	"2020/12"	"Male"	"M"	325	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	149	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	334	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	127	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	269	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	131	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	326	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	107	Not Applicable	Not Applicable
	"24 years"	"24"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	341	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2021 (provisional)"	"2021/05"	"Female"	"F"	124	Not Applicable	Not Applicable
	"24 years"	"24"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	369	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2021 (provisional)"	"2021/06"	"Female"	"F"	107	Not Applicable	Not Applicable
	"24 years"	"24"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	341	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2021 (provisional)"	"2021/07"	"Female"	"F"	120	Not Applicable	Not Applicable
	"24 years"	"24"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	341	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	136	Not Applicable	Not Applicable
	"24 years"	"24"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	353	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	137	Not Applicable	Not Applicable
	"24 years"	"24"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	355	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	128	Not Applicable	Not Applicable
	"24 years"	"24"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	377	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	125	Not Applicable	Not Applicable
	"24 years"	"24"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	321	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	138	Not Applicable	Not Applicable
	"24 years"	"24"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	317	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	119	Not Applicable	Not Applicable
	"24 years"	"24"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	318	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	92	Not Applicable	Not Applicable
	"24 years"	"24"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	258	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Female"	"F"	39	Not Applicable	Not Applicable
	"24 years"	"24"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Male"	"M"	113	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2018"	"2018/01"	"Female"	"F"	120	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2018"	"2018/01"	"Male"	"M"	318	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2018"	"2018/02"	"Female"	"F"	89	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2018"	"2018/02"	"Male"	"M"	274	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2018"	"2018/03"	"Female"	"F"	88	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2018"	"2018/03"	"Male"	"M"	282	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2018"	"2018/04"	"Female"	"F"	101	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2018"	"2018/04"	"Male"	"M"	290	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2018"	"2018/05"	"Female"	"F"	120	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2018"	"2018/05"	"Male"	"M"	344	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2018"	"2018/06"	"Female"	"F"	109	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2018"	"2018/06"	"Male"	"M"	301	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2018"	"2018/07"	"Female"	"F"	117	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2018"	"2018/07"	"Male"	"M"	291	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2018"	"2018/08"	"Female"	"F"	106	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2018"	"2018/08"	"Male"	"M"	308	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2018"	"2018/09"	"Female"	"F"	104	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2018"	"2018/09"	"Male"	"M"	299	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2018"	"2018/10"	"Female"	"F"	111	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2018"	"2018/10"	"Male"	"M"	286	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2018"	"2018/11"	"Female"	"F"	108	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2018"	"2018/11"	"Male"	"M"	250	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2018"	"2018/12"	"Female"	"F"	125	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2018"	"2018/12"	"Male"	"M"	303	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2019"	"2019/01"	"Female"	"F"	96	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2019"	"2019/01"	"Male"	"M"	259	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2019"	"2019/02"	"Female"	"F"	90	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2019"	"2019/02"	"Male"	"M"	247	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2019"	"2019/03"	"Female"	"F"	95	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2019"	"2019/03"	"Male"	"M"	294	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2019"	"2019/04"	"Female"	"F"	100	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2019"	"2019/04"	"Male"	"M"	290	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2019"	"2019/05"	"Female"	"F"	126	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2019"	"2019/05"	"Male"	"M"	291	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2019"	"2019/06"	"Female"	"F"	112	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2019"	"2019/06"	"Male"	"M"	311	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2019"	"2019/07"	"Female"	"F"	122	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2019"	"2019/07"	"Male"	"M"	313	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2019"	"2019/08"	"Female"	"F"	98	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2019"	"2019/08"	"Male"	"M"	321	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2019"	"2019/09"	"Female"	"F"	106	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2019"	"2019/09"	"Male"	"M"	278	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2019"	"2019/10"	"Female"	"F"	109	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2019"	"2019/10"	"Male"	"M"	299	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2019"	"2019/11"	"Female"	"F"	107	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2019"	"2019/11"	"Male"	"M"	291	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2019"	"2019/12"	"Female"	"F"	110	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2019"	"2019/12"	"Male"	"M"	287	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2020"	"2020/01"	"Female"	"F"	104	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2020"	"2020/01"	"Male"	"M"	273	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2020"	"2020/02"	"Female"	"F"	108	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2020"	"2020/02"	"Male"	"M"	296	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2020"	"2020/03"	"Female"	"F"	122	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2020"	"2020/03"	"Male"	"M"	316	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2020"	"2020/04"	"Female"	"F"	144	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2020"	"2020/04"	"Male"	"M"	361	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2020"	"2020/05"	"Female"	"F"	134	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2020"	"2020/05"	"Male"	"M"	367	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2020"	"2020/06"	"Female"	"F"	137	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2020"	"2020/06"	"Male"	"M"	373	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2020"	"2020/07"	"Female"	"F"	161	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2020"	"2020/07"	"Male"	"M"	361	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2020"	"2020/08"	"Female"	"F"	142	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2020"	"2020/08"	"Male"	"M"	383	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2020"	"2020/09"	"Female"	"F"	125	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2020"	"2020/09"	"Male"	"M"	342	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2020"	"2020/10"	"Female"	"F"	131	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2020"	"2020/10"	"Male"	"M"	354	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2020"	"2020/11"	"Female"	"F"	130	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2020"	"2020/11"	"Male"	"M"	354	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2020"	"2020/12"	"Female"	"F"	125	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2020"	"2020/12"	"Male"	"M"	363	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2021 (provisional)"	"2021/01"	"Female"	"F"	145	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2021 (provisional)"	"2021/01"	"Male"	"M"	355	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2021 (provisional)"	"2021/02"	"Female"	"F"	111	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2021 (provisional)"	"2021/02"	"Male"	"M"	309	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2021 (provisional)"	"2021/03"	"Female"	"F"	134	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2021 (provisional)"	"2021/03"	"Male"	"M"	368	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2021 (provisional)"	"2021/04"	"Female"	"F"	121	Not Applicable	Not Applicable
	"25 years"	"25"	"Apr., 2021 (provisional)"	"2021/04"	"Male"	"M"	354	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2021 (provisional)"	"2021/05"	"Female"	"F"	128	Not Applicable	Not Applicable
	"25 years"	"25"	"May, 2021 (provisional)"	"2021/05"	"Male"	"M"	380	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2021 (provisional)"	"2021/06"	"Female"	"F"	139	Not Applicable	Not Applicable
	"25 years"	"25"	"Jun., 2021 (provisional)"	"2021/06"	"Male"	"M"	375	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2021 (provisional)"	"2021/07"	"Female"	"F"	130	Not Applicable	Not Applicable
	"25 years"	"25"	"Jul., 2021 (provisional)"	"2021/07"	"Male"	"M"	380	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2021 (provisional)"	"2021/08"	"Female"	"F"	167	Not Applicable	Not Applicable
	"25 years"	"25"	"Aug., 2021 (provisional)"	"2021/08"	"Male"	"M"	438	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2021 (provisional)"	"2021/09"	"Female"	"F"	137	Not Applicable	Not Applicable
	"25 years"	"25"	"Sep., 2021 (provisional)"	"2021/09"	"Male"	"M"	416	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2021 (provisional)"	"2021/10"	"Female"	"F"	155	Not Applicable	Not Applicable
	"25 years"	"25"	"Oct., 2021 (provisional)"	"2021/10"	"Male"	"M"	360	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2021 (provisional)"	"2021/11"	"Female"	"F"	116	Not Applicable	Not Applicable
	"25 years"	"25"	"Nov., 2021 (provisional)"	"2021/11"	"Male"	"M"	335	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2021 (provisional)"	"2021/12"	"Female"	"F"	130	Not Applicable	Not Applicable
	"25 years"	"25"	"Dec., 2021 (provisional)"	"2021/12"	"Male"	"M"	322	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2022 (provisional)"	"2022/01"	"Female"	"F"	129	Not Applicable	Not Applicable
	"25 years"	"25"	"Jan., 2022 (provisional)"	"2022/01"	"Male"	"M"	331	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2022 (provisional)"	"2022/02"	"Female"	"F"	92	Not Applicable	Not Applicable
	"25 years"	"25"	"Feb., 2022 (provisional)"	"2022/02"	"Male"	"M"	254	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Female"	"F"	48	Not Applicable	Not Applicable
	"25 years"	"25"	"Mar., 2022 (provisional and partial)"	"2022/03"	"Male"	"M"	113	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2018"	"2018/01"	"Female"	"F"	129	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2018"	"2018/01"	"Male"	"M"	316	Not Applicable	Not Applicable
	"26 years"	"26"	"Feb., 2018"	"2018/02"	"Female"	"F"	116	Not Applicable	Not Applicable
	"26 years"	"26"	"Feb., 2018"	"2018/02"	"Male"	"M"	263	Not Applicable	Not Applicable
	"26 years"	"26"	"Mar., 2018"	"2018/03"	"Female"	"F"	113	Not Applicable	Not Applicable
	"26 years"	"26"	"Mar., 2018"	"2018/03"	"Male"	"M"	297	Not Applicable	Not Applicable
	"26 years"	"26"	"Apr., 2018"	"2018/04"	"Female"	"F"	126	Not Applicable	Not Applicable
	"26 years"	"26"	"Apr., 2018"	"2018/04"	"Male"	"M"	315	Not Applicable	Not Applicable
	"26 years"	"26"	"May, 2018"	"2018/05"	"Female"	"F"	129	Not Applicable	Not Applicable
	"26 years"	"26"	"May, 2018"	"2018/05"	"Male"	"M"	328	Not Applicable	Not Applicable
	"26 years"	"26"	"Jun., 2018"	"2018/06"	"Female"	"F"	109	Not Applicable	Not Applicable
	"26 years"	"26"	"Jun., 2018"	"2018/06"	"Male"	"M"	337	Not Applicable	Not Applicable
	"26 years"	"26"	"Jul., 2018"	"2018/07"	"Female"	"F"	127	Not Applicable	Not Applicable
	"26 years"	"26"	"Jul., 2018"	"2018/07"	"Male"	"M"	330	Not Applicable	Not Applicable
	"26 years"	"26"	"Aug., 2018"	"2018/08"	"Female"	"F"	131	Not Applicable	Not Applicable
	"26 years"	"26"	"Aug., 2018"	"2018/08"	"Male"	"M"	328	Not Applicable	Not Applicable
	"26 years"	"26"	"Sep., 2018"	"2018/09"	"Female"	"F"	102	Not Applicable	Not Applicable
	"26 years"	"26"	"Sep., 2018"	"2018/09"	"Male"	"M"	341	Not Applicable	Not Applicable
	"26 years"	"26"	"Oct., 2018"	"2018/10"	"Female"	"F"	136	Not Applicable	Not Applicable
	"26 years"	"26"	"Oct., 2018"	"2018/10"	"Male"	"M"	321	Not Applicable	Not Applicable
	"26 years"	"26"	"Nov., 2018"	"2018/11"	"Female"	"F"	122	Not Applicable	Not Applicable
	"26 years"	"26"	"Nov., 2018"	"2018/11"	"Male"	"M"	311	Not Applicable	Not Applicable
	"26 years"	"26"	"Dec., 2018"	"2018/12"	"Female"	"F"	118	Not Applicable	Not Applicable
	"26 years"	"26"	"Dec., 2018"	"2018/12"	"Male"	"M"	285	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2019"	"2019/01"	"Female"	"F"	106	Not Applicable	Not Applicable
	"26 years"	"26"	"Jan., 2019"	"2019/01"	"Male"	"M"	300	Not Applicable	Not Applicable
	"26 years"	"26"	"Feb., 2019"	"2019/02"	"Female"	"F"	102	Not Applicable	Not Applicable
	"26 years"	"26"	"Feb., 2019"	"2019/02"	"Male"	"M"	276	Not Applicable	Not Applicable
	"26 years"	"26"	"Mar., 2019"	"2019/03"	"Female"	"F"	110	Not Applicable	Not Applicable
	"26 years"	"26"	"Mar., 2019"	"2019/03"	"Male"	"M"	316	Not Applicable	Not Applicable
	"26 years"	"26"	"Apr., 2019"	"2019/04"	"Female"	"F"	93	Not Applicable	Not Applicable
	"26 years"	"26"	"Apr., 2019"	"2019/04"	"Male"	"M"	320	Not Applicable	Not Applicable
	"26 years"	"26"	"May, 2019"	"2019/05"	"Female"	"F"	124	Not Applicable	Not Applicable
	"26 years"	"26"	"May, 2019"	"2019/05"	"Male"	"M"	267	Not Applicable	Not Applicable
	"26 years"	"26"	"Jun., 2019"	"2019/06"	"Female"	"F"	130	Not Applicable	Not Applicable
	"26 years"	"26"	"Jun., 2019"	"2019/06"	"Male"	"M"	294	Not Applicable	Not Applicable
	"26 years"	"26"	"Jul., 2019"	"2019/07"	"Female"	"F"	122	Not Applicable	Not Applicable
	"26 years"	"26"	"Jul., 2019"	"2019/07"	"Male"	"M"	341	Not Applicable	Not Applicable
	"26 years"	"26"	"Aug., 2019"	"2019/08"	"Female"	"F"	133	Not Applicable	Not Applicable
	"26 years"	"26"	"Aug., 2019"	"2019/08"	"Male"	"M"	334	Not Applicable	Not Applicable
	"26 years"	"26"	"Sep., 2019"	"2019/09"	"Female"	"F"	101	Not Applicable	Not Applicable
	"26 years"	"26"	"Sep., 2019"	"2019/09"	"Male"	"M"	325	Not Applicable	Not Applicable
